SentID_GM,targ,Sentence_with_Target,Sentence_with_Blank,SimilarTo_SentID_GM,sentence_length,targ_sent_position
593,robust,"The winning horse was tall and [robust], with huge muscles.","The winning horse was tall and XXXXX, with huge muscles.",NA,NA,NA
594,robust,"If you're a farmer you have to be [robust], not weak.","If you're a farmer you have to be XXXXX, not weak.",NA,NA,NA
595,stifle,"After we leave, there's no need to [stifle] it any longer.","After we leave, there's no need to XXXXX it any longer.",NA,NA,NA
596,stifle,We weren't sure what to do if we were asked to [stifle] it.,We weren't sure what to do if we were asked to XXXXX it.,NA,NA,NA
597,stifle,The whole team agreed to [stifle] it as soon as possible.,The whole team agreed to XXXXX it as soon as possible.,2136,NA,NA
598,stifle,We wanted to help but we couldn't figure out how to [stifle] it.,We wanted to help but we couldn't figure out how to XXXXX it.,NA,NA,NA
599,stifle,"After everyone else had left, Sally could no longer [stifle] it.","After everyone else had left, Sally could no longer XXXXX it.",NA,NA,NA
600,stifle,"If you wait a while, you should be able to [stifle] it.","If you wait a while, you should be able to XXXXX it.",NA,NA,NA
601,stifle,"No one else was laughing, so the girl [stifled] her giggle.","No one else was laughing, so the girl XXXXX her giggle.",NA,NA,NA
602,stifle,Ellen thought she would enjoy the trip if she could [stifle] her concerns.,Ellen thought she would enjoy the trip if she could XXXXX her concerns.,NA,NA,NA
603,stifle,"Kelly didn't want her friend to hear the rumor, so she tried to [stifle] it.","Kelly didn't want her friend to hear the rumor, so she tried to XXXXX it.",NA,NA,NA
604,stifle,"Mandy didn't want to make a scene, so she [stifled] her feelings.","Mandy didn't want to make a scene, so she XXXXX her feelings.",NA,NA,NA
605,stifle,Lisa asked her neighbor to [stifle] the barking of her dog.,Lisa asked her neighbor to XXXXX the barking of her dog.,2754,NA,NA
606,stifle,"Bob knew he should stop sneezing, but he couldn't [stifle] it.","Bob knew he should stop sneezing, but he couldn't XXXXX it.",NA,NA,NA
607,stifle,Lucy fed the baby some milk to [stifle] his crying.,Lucy fed the baby some milk to XXXXX his crying.,2132,NA,NA
608,stifle,"John covered his mouth, but he couldn't [stifle] the powerful sneeze.","John covered his mouth, but he couldn't XXXXX the powerful sneeze.",2131,NA,NA
609,stifle,"Cindy knew she should be quite, so she tried to [stifle] her crying.","Cindy knew she should be quite, so she tried to XXXXX her crying.",1126,NA,NA
610,stifle,"Greg was embarrassed about his rumbling stomach, so he tried to [stifle] the sound.","Greg was embarrassed about his rumbling stomach, so he tried to XXXXX the sound.",NA,NA,NA
612,stifle,"If you want to spare his feelings, then [stifle] your criticism.","If you want to spare his feelings, then XXXXX your criticism.",NA,NA,NA
613,surly,The actor tried hard to pretend that he was not [surly] on stage.,The actor tried hard to pretend that he was not XXXXX on stage.,2336,NA,NA
614,surly,By the end of the meeting Tom had become more [surly].,By the end of the meeting Tom had become more XXXXX.,3245,NA,NA
615,surly,After the game it was obvious that the boys were [surly].,After the game it was obvious that the boys were XXXXX.,NA,NA,NA
616,surly,It would be surprising if you found them to be [surly].,It would be surprising if you found them to be XXXXX.,3195,NA,NA
617,surly,Jim took a long to paint the picture of the man that was [surly].,Jim took a long to paint the picture of the man that was XXXXX.,3196,NA,NA
618,surly,"The bus was crowded, so I sat across from the [surly] passenger.","The bus was crowded, so I sat across from the XXXXX passenger.",NA,NA,NA
619,surly,Owen kept poking her until she became [surly] and left.,Owen kept poking her until she became XXXXX and left.,2327,NA,NA
620,surly,Katie did not believe Phil was [surly] until he yelled at her.,Katie did not believe Phil was XXXXX until he yelled at her.,2330,NA,NA
621,surly,We left her alone since she was so [surly] about losing.,We left her alone since she was so XXXXX about losing.,2331,NA,NA
622,surly,You could tell by her behavior that she was [surly] this morning.,You could tell by her behavior that she was XXXXX this morning.,2333,NA,NA
623,surly,"When Todd left the house this morning, he didn't seem [surly].","When Todd left the house this morning, he didn't seem XXXXX.",NA,NA,NA
624,surly,I learned that John is more [surly] about the show than I thought.,I learned that John is more XXXXX about the show than I thought.,2335,NA,NA
625,surly,When my sister borrows my things without asking I become [surly].,When my sister borrows my things without asking I become XXXXX.,NA,NA,NA
626,surly,"Everyone else seemed happy, so Jake was sorry that Tina appeared [surly].","Everyone else seemed happy, so Jake was sorry that Tina appeared XXXXX.",NA,NA,NA
627,surly,"My father has had a hard life, but he is rarely [surly].","My father has had a hard life, but he is rarely XXXXX.",NA,NA,NA
628,surly,"After I was fired, I became more distant and [surly].","After I was fired, I became more distant and XXXXX.",NA,NA,NA
629,surly,Nikki's mean jokes made Jill [surly] enough to hit her.,Nikki's mean jokes made Jill XXXXX enough to hit her.,2328,NA,NA
630,surly,"He yelled a lot when he was [surly], causing friends to avoid him.","He yelled a lot when he was XXXXX, causing friends to avoid him.",2332,NA,NA
631,temperance,He has been working on his [temperance] for most of his adult life.,He has been working on his XXXXX for most of his adult life.,2216,NA,NA
632,temperance,Bill did not seem to think that Michelle had a lot of [temperance].,Bill did not seem to think that Michelle had a lot of XXXXX.,2217,NA,NA
633,temperance,Everyone at the office tried to show their [temperance].,Everyone at the office tried to show their XXXXX.,NA,NA,NA
634,temperance,Our assignment was to write an essay that was focused on [temperance].,Our assignment was to write an essay that was focused on XXXXX.,NA,NA,NA
635,temperance,My friend said that she used to have a lot of [temperance].,My friend said that she used to have a lot of XXXXX.,NA,NA,NA
636,temperance,We didn't realize that Joan had so little [temperance].,We didn't realize that Joan had so little XXXXX.,NA,NA,NA
637,temperance,"She wanted new shoes, but she used [temperance] and only bought socks.","She wanted new shoes, but she used XXXXX and only bought socks.",2211,NA,NA
638,temperance,"John drank too much, lost his [temperance], and began acting silly.","John drank too much, lost his XXXXX, and began acting silly.",2214,NA,NA
639,temperance,"Jeannette doesn't worry that she'll overeat, because she has [temperance].","Jeannette doesn't worry that she'll overeat, because she has XXXXX.",NA,NA,NA
640,temperance,"When you are tired and bored, it is harder to exercise your [temperance].","When you are tired and bored, it is harder to exercise your XXXXX.",NA,NA,NA
641,temperance,"If you want to achieve good results, then you'll need to exercise [temperance].","If you want to achieve good results, then you'll need to exercise XXXXX.",NA,NA,NA
642,temperance,Sometimes people can lose their [temperance] in public places.,Sometimes people can lose their XXXXX in public places.,2220,NA,NA
643,temperance,The hungry dieter resisted the cake because she had strong [temperance].,The hungry dieter resisted the cake because she had strong XXXXX.,NA,NA,NA
644,temperance,Children can resist opening presents before Christmas if they have [temperance].,Children can resist opening presents before Christmas if they have XXXXX.,2213,NA,NA
645,temperance,Sally refused the bribe because she had strong morals and [temperance].,Sally refused the bribe because she had strong morals and XXXXX.,NA,NA,NA
646,temperance,I can control my urges because I have good [temperance].,I can control my urges because I have good XXXXX.,2799,NA,NA
647,temperance,Carol chose an apple instead of a cookie because she has [temperance].,Carol chose an apple instead of a cookie because she has XXXXX.,NA,NA,NA
648,temperance,It's hard for children to control themselves because they have weak [temperance].,It's hard for children to control themselves because they have weak XXXXX.,NA,NA,NA
649,umbrage,"When he walked in, it was clear he had taken [umbrage].","When he walked in, it was clear he had taken XXXXX.",NA,NA,NA
650,umbrage,Nobody cares whether you do or do not take [umbrage].,Nobody cares whether you do or do not take XXXXX.,NA,NA,NA
651,umbrage,The children didn't realize that the [umbrage] was real.,The children didn't realize that the XXXXX was real.,NA,NA,NA
652,umbrage,It's not usually very helpful to take [umbrage] at dinner.,It's not usually very helpful to take XXXXX at dinner.,NA,NA,NA
653,umbrage,"Nobody made a move to get up, despite his [umbrage].","Nobody made a move to get up, despite his XXXXX.",NA,NA,NA
654,umbrage,There are lots of things that can cause people to take [umbrage].,There are lots of things that can cause people to take XXXXX.,NA,NA,NA
655,umbrage,It's not surprising that some of the people expressed [umbrage].,It's not surprising that some of the people expressed XXXXX.,NA,NA,NA
656,umbrage,The protesters expressed their [umbrage] by striking and chanting slogans.,The protesters expressed their XXXXX by striking and chanting slogans.,2355,NA,NA
657,umbrage,When the unions were banned the workers all took [umbrage].,When the unions were banned the workers all took XXXXX.,NA,NA,NA
658,umbrage,It's hard to talk with someone when they take [umbrage] with everything.,It's hard to talk with someone when they take XXXXX with everything.,NA,NA,NA
659,umbrage,I asked my friend not to take [umbrage] at the suggestion.,I asked my friend not to take XXXXX at the suggestion.,NA,NA,NA
660,umbrage,Her frowning face expressed [umbrage] after she was splashed with mud.,Her frowning face expressed XXXXX after she was splashed with mud.,2351,NA,NA
661,umbrage,Dad does not hold in his [umbrage]; he yells at us whenever he's upset.,Dad does not hold in his XXXXX; he yells at us whenever he's upset.,2901,NA,NA
662,umbrage,"Martin is yelling, so he must have taken [umbrage] at the remark.","Martin is yelling, so he must have taken XXXXX at the remark.",NA,NA,NA
663,umbrage,Her fingers were clenched into fists and she was shaking with [umbrage].,Her fingers were clenched into fists and she was shaking with XXXXX.,2905,NA,NA
664,umbrage,The mother shows her [umbrage] by shouting when her kids behave badly.,The mother shows her XXXXX by shouting when her kids behave badly.,2352,NA,NA
665,umbrage,"When the workers threatened to strike, the boss really took [umbrage].","When the workers threatened to strike, the boss really took XXXXX.",NA,NA,NA
666,umbrage,"When Michael Brown was killed by police, almost everyone took [umbrage].","When Michael Brown was killed by police, almost everyone took XXXXX.",NA,NA,NA
667,uncouth,"Bob did not consider himself [uncouth], but many others he worked with did.","Bob did not consider himself XXXXX, but many others he worked with did.",2312,NA,NA
668,uncouth,Her mother was surprised to find out that her daughter's friends were [uncouth].,Her mother was surprised to find out that her daughter's friends were XXXXX.,2314,NA,NA
669,uncouth,Janet was surprised when she discovered that the child was so [uncouth].,Janet was surprised when she discovered that the child was so XXXXX.,NA,NA,NA
670,uncouth,John considered whether or not to choose the one that was [uncouth].,John considered whether or not to choose the one that was XXXXX.,3192,NA,NA
671,uncouth,Sometimes people disagree about whether or not they're [uncouth].,Sometimes people disagree about whether or not they're XXXXX.,3191,NA,NA
672,uncouth,In the photograph I was sitting next to an [uncouth] friend.,In the photograph I was sitting next to a(n) XXXXX friend.,NA,NA,NA
673,uncouth,The guests were offended when they were accused of being [uncouth].,The guests were offended when they were accused of being XXXXX.,NA,NA,NA
674,uncouth,"The kids were asked to behave at the party, but they were deliberately [uncouth].","The kids were asked to behave at the party, but they were deliberately XXXXX.",NA,NA,NA
675,uncouth,Different cultures think that different actions are [uncouth].,Different cultures think that different actions are XXXXX.,2861,NA,NA
676,uncouth,Janet thought their substitute teacher the other day was [uncouth].,Janet thought their substitute teacher the other day was XXXXX.,2309,NA,NA
677,uncouth,The student was considered [uncouth] by all of her high school teachers.,The student was considered XXXXX by all of her high school teachers.,2310,NA,NA
678,uncouth,"Hippies are generally carefree, but that doesn't mean they are [uncouth].","Hippies are generally carefree, but that doesn't mean they are XXXXX.",NA,NA,NA
679,uncouth,Burping at the dinner table is considered [uncouth] in Western cultures.,Burping at the dinner table is considered XXXXX in Western cultures.,NA,NA,NA
680,uncouth,If you do not say 'please' and 'thank you' some people might think you're [uncouth].,If you do not say 'please' and 'thank you' some people might think you're XXXXX.,NA,NA,NA
681,uncouth,"Interrupting someone, even a friend, is considered [uncouth] in many regions.","Interrupting someone, even a friend, is considered XXXXX in many regions.",NA,NA,NA
683,uncouth,"When I place my elbows on the dinner table, my mother says it's [uncouth].","When I place my elbows on the dinner table, my mother says it's XXXXX.",NA,NA,NA
684,uncouth,"When you pile onto the elevator before passengers have exited, it's very [uncouth].","When you pile onto the elevator before passengers have exited, it's very XXXXX.",NA,NA,NA
685,undermine,Before the meeting started they talked about how to [undermine] it.,Before the meeting started they talked about how to XXXXX it.,3257,NA,NA
686,undermine,The consultant told us that if we persisted we would probably [undermine] it.,The consultant told us that if we persisted we would probably XXXXX it.,3253,NA,NA
687,undermine,The guy said that it would be hard to [undermine] them.,The guy said that it would be hard to XXXXX them.,NA,NA,NA
688,undermine,There are several ways to tell whether or not it has been [undermined].,There are several ways to tell whether or not it has been XXXXX.,3258,NA,NA
689,undermine,We couldn't figure out how they had [undermined] it.,We couldn't figure out how they had XXXXX it.,NA,NA,NA
690,undermine,When we arrived we thought that everyone had been [undermined].,When we arrived we thought that everyone had been XXXXX.,NA,NA,NA
691,undermine,Lindsay found that her confidence was [undermined] by the feedback.,Lindsay found that her confidence was XXXXX by the feedback.,NA,NA,NA
692,undermine,The fear of failure [undermined] my will to complete the homework.,The fear of failure XXXXX my will to complete the homework.,NA,NA,NA
693,undermine,The injury to my back [undermined] my plans to work in construction.,The injury to my back XXXXX my plans to work in construction.,3244,NA,NA
694,undermine,The weight appeared to [undermine] the stability the old bridge.,The weight appeared to XXXXX the stability the old bridge.,NA,NA,NA
695,undermine,The critique of Bill's performance [undermined] his confidence.,The critique of Bill's performance XXXXX his confidence.,NA,NA,NA
696,undermine,After the girls left the rest of us felt [undermined].,After the girls left the rest of us felt XXXXX.,3252,NA,NA
697,undermine,When people fail to keep a promise it [undermines] their credibility.,When people fail to keep a promise it XXXXX their credibility.,NA,NA,NA
698,undermine,She lied so often that it [undermined] our trust in what she said.,She lied so often that it XXXXX our trust in what she said.,3247,NA,NA
699,undermine,"Instead of supporting the cause, they did everything possible to [undermine] it.","Instead of supporting the cause, they did everything possible to XXXXX it.",NA,NA,NA
700,undermine,The defense tried to make her look bad in order to [undermine] her case.,The defense tried to make her look bad in order to XXXXX her case.,NA,NA,NA
701,undermine,Peter brought up the scandal in order to [undermine] his rival.,Peter brought up the scandal in order to XXXXX his rival.,NA,NA,NA
702,undermine,"When people run for office, negative press can [undermine] their chances of success.","When people run for office, negative press can XXXXX their chances of success.",NA,NA,NA
703,wince,Mandy's friends saw her [wince] during the second half of the game.,Mandy's friends saw her XXXXX during the second half of the game.,2123,NA,NA
704,wince,"Sometimes while he is playing a video game, John will [wince].","Sometimes while he is playing a video game, John will XXXXX.",2127,NA,NA
705,wince,We were surprised to learn that John didn't [wince].,We were surprised to learn that John didn't XXXXX.,NA,NA,NA
706,wince,Isaac and his friends thought that they saw Francis [wince] during recess.,Isaac and his friends thought that they saw Francis XXXXX during recess.,NA,NA,NA
707,wince,The agent didn't know if he saw the customer [wince] or not.,The agent didn't know if he saw the customer XXXXX or not.,NA,NA,NA
708,wince,Julia couldn't tell whether she had actually [winced] or not.,Julia couldn't tell whether she had actually XXXXX or not.,NA,NA,NA
709,wince,"When the rock hit the windshield, my mother [winced] with surprise.","When the rock hit the windshield, my mother XXXXX with surprise.",NA,NA,NA
710,wince,Amanda [winced] when the man approached her in the park.,Amanda XXXXX when the man approached her in the park.,2120,NA,NA
711,wince,His mother told him not to [wince] at the doctor's office.,His mother told him not to XXXXX at the doctor's office.,2745,NA,NA
712,wince,Jake's friends teased him for [wincing] when the girl pretended to punch him.,Jake's friends teased him for XXXXX when the girl pretended to punch him.,2746,NA,NA
713,wince,"When Jesse heard the noise she [winced], but tried to stay calm.","When Jesse heard the noise she XXXXX, but tried to stay calm.",NA,NA,NA
714,wince,"When her friend pretended to slap her, Shelly [winced].","When her friend pretended to slap her, Shelly XXXXX.",NA,NA,NA
715,wince,In dodge ball people [wince] and dive away from oncoming balls.,In dodge ball people XXXXX and dive away from oncoming balls.,2116,NA,NA
716,wince,"When the ball hit Billy in the face, he barely had time to [wince].","When the ball hit Billy in the face, he barely had time to XXXXX.",NA,NA,NA
717,wince,"When Kevin stuck his hand in the bowl of spiders, he didn't even [wince].","When Kevin stuck his hand in the bowl of spiders, he didn't even XXXXX.",NA,NA,NA
718,wince,"The pain from the needle was sudden, and Mary [winced] a little.","The pain from the needle was sudden, and Mary XXXXX a little.",NA,NA,NA
719,wince,Sally was so anxious that the unexpected noise made her [wince].,Sally was so anxious that the unexpected noise made her XXXXX.,NA,NA,NA
720,wince,The scene was so shocking that Sarah [winced] and turned away.,The scene was so shocking that Sarah XXXXX and turned away.,NA,NA,NA
721,auspices,I can't tell if Bob is doing it under their [auspices] or not.,I can't tell if Bob is doing it under their XXXXX or not.,NA,NA,NA
722,auspices,The friends talked about what it's like to be under their [auspices].,The friends talked about what it's like to be under their XXXXX.,NA,NA,NA
723,auspices,Carrie walked along her usual path and thought about the [auspices].,Carrie walked along her usual path and thought about the XXXXX.,NA,NA,NA
724,auspices,We don't know if we want to be under their [auspices] or not.,We don't know if we want to be under their XXXXX or not.,NA,NA,NA
725,auspices,"At some point, he may ask us to write about the [auspices].","At some point, he may ask us to write about the XXXXX.",NA,NA,NA
726,auspices,Sally said she wanted to talk about the [auspices].,Sally said she wanted to talk about the XXXXX.,NA,NA,NA
727,auspices,Last year John depended on the [auspices] of his parents.,Last year John depended on the XXXXX of his parents.,NA,NA,NA
728,auspices,We carried out the study under the [auspices] of the government.,We carried out the study under the XXXXX of the government.,NA,NA,NA
729,auspices,The fireworks were set off under the [auspices] of the city.,The fireworks were set off under the XXXXX of the city.,NA,NA,NA
730,auspices,Ukraine would accept the aid if it arrived under the [auspices] of the Red Cross.,Ukraine would accept the aid if it arrived under the XXXXX of the Red Cross.,NA,NA,NA
731,auspices,When the building reopens it will be under the [auspices] of the fairgrounds.,When the building reopens it will be under the XXXXX of the fairgrounds.,NA,NA,NA
732,auspices,I completed my studies under the [auspices] of the US government.,I completed my studies under the XXXXX of the US government.,NA,NA,NA
733,auspices,The student was very thankful for her teacher's kind support and [auspices].,The student was very thankful for her teacher's kind support and XXXXX.,NA,NA,NA
734,auspices,The robotics team wouldn't have been so successful without the company's [auspices] and help.,The robotics team wouldn't have been so successful without the company's XXXXX and help.,NA,NA,NA
735,auspices,Saul was glad he was working under the help of his mentor's [auspices].,Saul was glad he was working under the help of his mentor's XXXXX.,NA,NA,NA
736,auspices,The soccer team operated under the [auspices] of the school's athletic committee.,The soccer team operated under the XXXXX of the school's athletic committee.,NA,NA,NA
737,auspices,The global aid organization operated under the [auspices] and sponsorship of the United Nations.,The global aid organization operated under the XXXXX and sponsorship of the United Nations.,NA,NA,NA
738,auspices,The candidates all wanted the support of the big company and tried to get its [auspices].,The candidates all wanted the support of the big company and tried to get its XXXXX.,NA,NA,NA
739,browbeat,Harold thought about whether or not he should [browbeat] his friend.,Harold thought about whether or not he should XXXXX his friend.,NA,NA,NA
740,browbeat,Olivia didn't have any idea what it would be like to [browbeat] someone.,Olivia didn't have any idea what it would be like to XXXXX someone.,NA,NA,NA
741,browbeat,Patrick was surprised that his coworker wanted to [browbeat] him.,Patrick was surprised that his coworker wanted to XXXXX him.,NA,NA,NA
742,browbeat,"After Brenda left, the boys all began to [browbeat] one another.","After Brenda left, the boys all began to XXXXX one another.",NA,NA,NA
743,browbeat,Iris and John couldn't agree whether or not they should [browbeat] David.,Iris and John couldn't agree whether or not they should XXXXX David.,NA,NA,NA
744,browbeat,I was surprised when the mailman tried to [browbeat] me this morning.,I was surprised when the mailman tried to XXXXX me this morning.,NA,NA,NA
745,browbeat,Jane wanted to [browbeat] her sister into revealing the truth.,Jane wanted to XXXXX her sister into revealing the truth.,NA,NA,NA
746,browbeat,"In some countries, girls are [browbeat] into marrying at a very young age.","In some countries, girls are XXXXX into marrying at a very young age.",NA,NA,NA
747,browbeat,"A coach should provide leadership, not [browbeat] their players.","A coach should provide leadership, not XXXXX their players.",1083,NA,NA
748,browbeat,The company tried to [browbeat] them into signing the deal.,The company tried to XXXXX them into signing the deal.,NA,NA,NA
749,browbeat,The boss decided to [browbeat] the workers into leaving.,The boss decided to XXXXX the workers into leaving.,NA,NA,NA
750,browbeat,Dylan might [browbeat] them in order to get his way.,Dylan might XXXXX them in order to get his way.,NA,NA,NA
751,browbeat,"Samantha didn't want to help the bully, but he [browbeat] her into doing his homework.","Samantha didn't want to help the bully, but he XXXXX her into doing his homework.",NA,NA,NA
752,browbeat,John's Dad usually has to yell and [browbeat] him into doing his chores.,John's Dad usually has to yell and XXXXX him into doing his chores.,NA,NA,NA
753,browbeat,The detective [browbeat] the suspect into giving a confession.,The detective XXXXX the suspect into giving a confession.,NA,NA,NA
754,browbeat,His wife nagged and [browbeat] him into purchasing the necklace.,His wife nagged and XXXXX him into purchasing the necklace.,NA,NA,NA
755,browbeat,The babysitter had to [browbeat] the kids into doing as they were told.,The babysitter had to XXXXX the kids into doing as they were told.,NA,NA,NA
756,browbeat,"Sarah wanted to talk, not [browbeat] her husband into agreement.","Sarah wanted to talk, not XXXXX her husband into agreement.",NA,NA,NA
757,castigate,She asked them if anyone had been [castigated] this afternoon.,She asked them if anyone had been XXXXX this afternoon.,NA,NA,NA
758,castigate,The gardener was surprised when his wife started to [castigate] him.,The gardener was surprised when his wife started to XXXXX him.,NA,NA,NA
759,castigate,Gina didn't know what it would be like to [castigate] someone.,Gina didn't know what it would be like to XXXXX someone.,NA,NA,NA
760,castigate,We agreed that it would not be advisable to [castigate] them.,We agreed that it would not be advisable to XXXXX them.,NA,NA,NA
761,castigate,Robert didn't know that his friends were planning to [castigate] him.,Robert didn't know that his friends were planning to XXXXX him.,NA,NA,NA
762,castigate,The teacher didn't think it was the right time to [castigate] the boy.,The teacher didn't think it was the right time to XXXXX the boy.,NA,NA,NA
763,castigate,"Jimmy isn't a great athlete, but John shouldn't [castigate] him so much.","Jimmy isn't a great athlete, but John shouldn't XXXXX him so much.",NA,NA,NA
764,castigate,"After Brandon wrecked the car, he was [castigated] by his girlfriend.","After Brandon wrecked the car, he was XXXXX by his girlfriend.",NA,NA,NA
765,castigate,"After Mary voted, her coworkers [castigate] her for voting against the strike.","After Mary voted, her coworkers XXXXX her for voting against the strike.",NA,NA,NA
766,castigate,"When celebrities behave badly, they are often [castigated] in the news.","When celebrities behave badly, they are often XXXXX in the news.",NA,NA,NA
767,castigate,"Because the boy was different, the other kids ignored or [castigate] him.","Because the boy was different, the other kids ignored or XXXXX him.",NA,NA,NA
768,castigate,Bob began to lose his confidence after he was [castigated] by his team.,Bob began to lose his confidence after he was XXXXX by his team.,NA,NA,NA
769,castigate,"After his controversial speech, some people praised Don, but others [castigated] him.","After his controversial speech, some people praised Don, but others XXXXX him.",NA,NA,NA
770,castigate,"After the news anchor lied, he was often [castigated] by the press.","After the news anchor lied, he was often XXXXX by the press.",NA,NA,NA
771,castigate,The judge [castigated] the boy for stealing and sentenced him to community service.,The judge XXXXX the boy for stealing and sentenced him to community service.,NA,NA,NA
772,castigate,The teacher first corrected Richard and then [castigated] him for being sloppy.,The teacher first corrected Richard and then XXXXX him for being sloppy.,NA,NA,NA
773,castigate,"After Peggy confessed, she was [castigated] for only telling one side of the story.","After Peggy confessed, she was XXXXX for only telling one side of the story.",NA,NA,NA
774,castigate,Sylvester always thought his ideas were the best and ignored those who [castigate] him.,Sylvester always thought his ideas were the best and ignored those who XXXXX him.,NA,NA,NA
775,cavort,Ida and Peggy meet after work to [cavort] outside.,Ida and Peggy meet after work to XXXXX outside.,NA,NA,NA
776,cavort,It is important to set aside time to [cavort] every day.,It is important to set aside time to XXXXX every day.,NA,NA,NA
777,cavort,There were few chances for us to [cavort] in the afternoon.,There were few chances for us to XXXXX in the afternoon.,NA,NA,NA
778,cavort,We were so busy that we rarely found time to [cavort].,We were so busy that we rarely found time to XXXXX.,NA,NA,NA
779,cavort,We decided to look for another place to [cavort].,We decided to look for another place to XXXXX.,NA,NA,NA
780,cavort,We were surprised that they never had a chance to [cavort].,We were surprised that they never had a chance to XXXXX.,NA,NA,NA
781,cavort,They monkeys hooted as they [cavorted] in the branches.,They monkeys hooted as they XXXXX in the branches.,NA,NA,NA
782,cavort,"On New Year's Eve, we celebrated by [cavorting] around town.","On New Year's Eve, we celebrated by XXXXX around town.",3226,NA,NA
783,cavort,Celebrities spend their evenings [cavorting] with other rich people.,Celebrities spend their evenings XXXXX with other rich people.,3508,NA,NA
784,cavort,"At the prom, the teenagers laughed and [cavorted] to the music.","At the prom, the teenagers laughed and XXXXX to the music.",3510,NA,NA
785,cavort,In winter the dogs frolic and [cavort] in the snow.,In winter the dogs frolic and XXXXX in the snow.,3511,NA,NA
786,cavort,It was a great party because people felt free to mingle and [cavort].,It was a great party because people felt free to mingle and XXXXX.,3519,NA,NA
787,cavort,The school created an area where the kids could [cavort] at recess.,The school created an area where the kids could XXXXX at recess.,3509,NA,NA
788,cavort,"At the park, parents watch their children laugh and [cavort] on the jungle Jim.","At the park, parents watch their children laugh and XXXXX on the jungle Jim.",1085,NA,NA
789,cavort,Each summer we have a festival with rides and places for kids to [cavort].,Each summer we have a festival with rides and places for kids to XXXXX.,3512,NA,NA
790,cavort,Lily was tired because she spent the weekend [cavorting] with friends.,Lily was tired because she spent the weekend XXXXX with friends.,NA,NA,NA
791,cavort,We were happy to see the dolphins jumping and [cavorting] in the waves.,We were happy to see the dolphins jumping and XXXXX in the waves.,NA,NA,NA
792,cavort,The children giggled and splashed as they [cavorted] in the wave pool.,The children giggled and splashed as they XXXXX in the wave pool.,3518,NA,NA
793,defile,Adam and his friends spent a lot of time [defiling] things this week.,Adam and his friends spent a lot of time XXXXX things this week.,NA,NA,NA
794,defile,The group of children couldn't decide if they would [defile] it or not.,The group of children couldn't decide if they would XXXXX it or not.,NA,NA,NA
795,defile,She interviewed them to find out why it had been [defiled].,She interviewed them to find out why it had been XXXXX.,NA,NA,NA
796,defile,There was general agreement that it had been [defiled] last night.,There was general agreement that it had been XXXXX last night.,3505,NA,NA
797,defile,There was much discussion about whether or not it had been [defiled].,There was much discussion about whether or not it had been XXXXX.,3502,NA,NA
798,defile,We found no evidence to suggest that it had been [defiled].,We found no evidence to suggest that it had been XXXXX.,3500,NA,NA
800,defile,It's a shame that this area has been [defiled] by tourists.,It's a shame that this area has been XXXXX by tourists.,3495,NA,NA
801,defile,The kids were almost arrested for [defiling] city property.,The kids were almost arrested for XXXXX city property.,NA,NA,NA
802,defile,We were shocked to learn the tomb had been [defiled] by pirates.,We were shocked to learn the tomb had been XXXXX by pirates.,NA,NA,NA
803,defile,A bunch of kids had broken in and [defiled] the paintings.,A bunch of kids had broken in and XXXXX the paintings.,NA,NA,NA
804,defile,"After the news release, she feared that the story had [defiled] her reputation.","After the news release, she feared that the story had XXXXX her reputation.",NA,NA,NA
805,defile,"The charming town was soon [defiled] by city traffic, smoke stacks, and gambling.","The charming town was soon XXXXX by city traffic, smoke stacks, and gambling.",3493,NA,NA
806,defile,The man was fined for [defiling] the artwork with a permanent marker.,The man was fined for XXXXX the artwork with a permanent marker.,NA,NA,NA
807,defile,"The gas company admitted to the leak, which [defiled] the local drinking water.","The gas company admitted to the leak, which XXXXX the local drinking water.",3488,NA,NA
808,defile,The rain forest was once pristine but was [defiled] by careless visitors.,The rain forest was once pristine but was XXXXX by careless visitors.,NA,NA,NA
809,defile,The intruders entered the church and [defiled] a statue by spray painting it.,The intruders entered the church and XXXXX a statue by spray painting it.,NA,NA,NA
810,defile,"We cleaned up the park, which had been [defiled] by careless visitors.","We cleaned up the park, which had been XXXXX by careless visitors.",3487,NA,NA
811,deteriorate,None of us had expected that it would continue to [deteriorate].,None of us had expected that it would continue to XXXXX.,NA,NA,NA
812,deteriorate,We didn't understand why everything was starting to [deteriorate].,We didn't understand why everything was starting to XXXXX.,NA,NA,NA
813,deteriorate,I wondered what would happen if things started to [deteriorate].,I wondered what would happen if things started to XXXXX.,NA,NA,NA
814,deteriorate,Harry told us that nothing had [deteriorated] since he lived there.,Harry told us that nothing had XXXXX since he lived there.,NA,NA,NA
815,deteriorate,The people realized that they had allowed things to [deteriorate].,The people realized that they had allowed things to XXXXX.,NA,NA,NA
816,deteriorate,The problem becomes more complicated if certain things are found to [deteriorate].,The problem becomes more complicated if certain things are found to XXXXX.,NA,NA,NA
817,deteriorate,"I forgot the sandwich in my locker, leaving it to [deteriorate].","I forgot the sandwich in my locker, leaving it to XXXXX.",NA,NA,NA
818,deteriorate,"Over millions of years, the flow of water causes rock to [deteriorate].","Over millions of years, the flow of water causes rock to XXXXX.",NA,NA,NA
819,deteriorate,Exposure to dust and air caused the ancient mummy to [deteriorate].,Exposure to dust and air caused the ancient mummy to XXXXX.,NA,NA,NA
