SentID,Sentence,Targ,SentID_GM,
4471,"The streets are safe now, but there used to be lots of [turmoil].",turmoil,,
4474,I wonder how much [turmoil] exists in the world.,turmoil,,
4480,The broken legal system has brought much [turmoil].,turmoil,,
4481,I am worried by all the [turmoil] in my life.,turmoil,,
4482,Lisa looked for some inner peace amid all the [turmoil].,turmoil,,
4483,War can be a time of lots of [turmoil].,turmoil,,
4486,Saudi Arabia and Iran have long [vied] for influence in the Middle East.,vie,,
4487,The two siblings were eagerly [vying] for their mother's attention.,vie,,
4488,"In the final stage of the competition, two weight lifters will [vie] for the title.",vie,,
4489,"In the competition this Sunday, both teams will [vie] for the championship.",vie,,
4492,I sometimes why it is that people [vie] for certain things.,vie,,
4498,Richard has been [vying] for increased support.,vie,,
4499,The group of tourists all [vied] for a closer look at the Statue of Liberty.,vie,,
4500,Ryan isn't competitive except when he is [vying] for jobs.,vie,,
4501,Many artists are [vying] for the chance to paint the famous building.,vie,,
4504,"After falling, the old man got back up by his own [volition].",volition ,,
4510,The young man did his homework on his own [volition].,volition ,,
4516,His legs seemed to moved on their own [volition] when he fell.,volition ,,
4517,The injured football player walked off the field by his own [volition].,volition ,,
4518,The upset man left the room by his own [volition].,volition ,,
4519,He could leave with the police or by his own [volition]. ,volition ,,
4522,Tom's wife [goaded] him into buying her a new dress.,goad,,
4523,The protesters kept complaining until they [goaded] the mayor into action.,goad,,
4524,Matthew's little sister [goaded] him in her most annoying voice until he got mad.,goad,,
4525,The government was silent until it was [goaded] into action by a national outcry.,goad,,
4528,Gary thought about the last time that someone tried to [goad] him.,goad,,
4534,Some kids are more likely to be [goaded] into doing stupid things.,goad,,
4535,The editor had high expectations and [goaded] the writer to work harder.,goad,,
